name,country_area_id,flag_image
Japan,1,country_flags/flags/shiny/64/Japan.png
India,1,country_flags/flags/shiny/64/India.png
Indonesia,1,country_flags/flags/shiny/64/Indonesia.png
South Korea,1,country_flags/flags/shiny/64/South-Korea.png
Cambodia,1,country_flags/flags/shiny/64/Cambodia.png
Singapore,1,country_flags/flags/shiny/64/Singapore.png
Sri Lanka,1,country_flags/flags/shiny/64/Sri-Lanka.png
Thailand,1,country_flags/flags/shiny/64/Thailand.png
China,1,country_flags/flags/shiny/64/China.png
Nepal,1,country_flags/flags/shiny/64/Nepal.png
Pakistan,1,country_flags/flags/shiny/64/Pakistan.png
Bangladesh,1,country_flags/flags/shiny/64/Bangladesh.png
East Timor,1,country_flags/flags/shiny/64/East-Timor.png
Bhutan,1,country_flags/flags/shiny/64/Bhutan.png
Philippines,1,country_flags/flags/shiny/64/Philippines.png
Brunei,1,country_flags/flags/shiny/64/Brunei.png
Viet Nam,1,country_flags/flags/shiny/64/Vietnam.png
Malaysia,1,country_flags/flags/shiny/64/Malaysia.png
Myanmar,1,country_flags/flags/shiny/64/Myanmar.png
Maldives,1,country_flags/flags/shiny/64/Maldives.png
Mongolia,1,country_flags/flags/shiny/64/Mongolia.png
Laos,1,country_flags/flags/shiny/64/Laos.png
North Korea,1,country_flags/flags/shiny/64/North-Korea.png
Taiwan,1,country_flags/flags/shiny/64/Taiwan.png
Hong Kong,1,country_flags/flags/shiny/64/Hong-Kong.png
Macao,1,country_flags/flags/shiny/64/Macau.png
United States,2,country_flags/flags/shiny/64/United-States.png
Canada,2,country_flags/flags/shiny/64/Canada.png
Argentina,3,country_flags/flags/shiny/64/Argentina.png
Antigua and Barbuda,3,country_flags/flags/shiny/64/Antigua-and-Barbuda.png
Uruguay,3,country_flags/flags/shiny/64/Uruguay.png
Ecuador,3,country_flags/flags/shiny/64/Ecuador.png
El Salvador,3,country_flags/flags/shiny/64/El-Salvador.png
Guyana,3,country_flags/flags/shiny/64/Guyana.png
Cuba,3,country_flags/flags/shiny/64/Cuba.png
Guatemala,3,country_flags/flags/shiny/64/Guatemala.png
Grenada,3,country_flags/flags/shiny/64/Grenada.png
Costa Rica,3,country_flags/flags/shiny/64/Costa-Rica.png
Colombia,3,country_flags/flags/shiny/64/Colombia.png
Jamaica,3,country_flags/flags/shiny/64/Jamaica.png
Suriname,3,country_flags/flags/shiny/64/Suriname.png
Saint Kitts and Nevis,3,country_flags/flags/shiny/64/Saint-Kitts-and-Nevis.png
SVG,3,country_flags/flags/shiny/64/Saint-Vincent-and-the-Grenadines.png
Saint Lucia,3,country_flags/flags/shiny/64/Saint-Lucia.png
Chile,3,country_flags/flags/shiny/64/Chile.png
